festivalNm,fStart,fClose,Days,areaNm
고창복분자와수박축제,2022-06-17,2022-06-19,2 days,전라북도
고창갯벌축제,2022-08-05,2022-08-07,2 days,전라북도
제27회 낙안읍성 민속문화축제,2022-10-21,2022-10-23,2 days,전라남도
음성품바축제,2022-09-21,2022-09-25,4 days,충청북도
2022 보은대추축제,2022-10-14,2022-10-23,9 days,충청북도
체험문화축제,2022-10-15,2022-10-16,1 days,경기도
장보고수산물축제,2022-05-05,2022-05-08,3 days,전라남도
청산도슬로걷기축제,2022-04-09,2022-05-08,29 days,전라남도
입장거봉포도축제,2022-09-02,2022-09-12,10 days,충청남도
천안성환배축제,2022-10-17,2022-10-28,11 days,충청남도
천안호두축제,2022-10-08,2022-10-09,1 days,충청남도
제23회 칠갑산장승문화축제,2022-10-29,2022-10-30,1 days,충청남도
증평들노래축제,2022-10-22,2022-10-23,1 days,충청북도
2022년 거창한마당대축제,2022-09-29,2022-10-02,3 days,경상남도
낙동강유채꽃축제,2022-04-09,2022-04-17,8 days,부산광역시
부산원도심골목길축제,2022-06-11,2022-06-12,1 days,부산광역시
부산바다축제,2022-07-30,2022-08-07,8 days,부산광역시
부산불꽃축제,2022-12-17,2022-12-17,0 days,부산광역시
석촌호수벚꽃축제,2022-04-01,2022-04-30,29 days,서울특별시
설봉산별빛축제,2022-07-09,2022-08-06,28 days,경기도
2022년 과천축제,2022-09-16,2022-09-18,2 days,경기도
서편제보성소리축제,2022-09-30,2022-10-02,2 days,전라남도
제9회 낙동강 구포나루 축제,2022-10-28,2022-10-30,2 days,부산광역시
2022 양천 창의교육 축제 X 과학체험한마당,2022-10-14,2022-10-15,1 days,서울특별시
2022년 제6회 파리공원문화축제,2022-10-22,2022-10-22,0 days,서울특별시
양천구 해우리문화축제 <바람난 양천>,2022-10-07,2022-10-24,17 days,서울특별시
동두천 청소년 별자리과학 축제,2022-10-01,2022-10-01,0 days,경기도
광주왕실도자기축제,2022-08-26,2022-08-28,2 days,경기도
김해분청도자기축제,2022-10-21,2022-10-30,9 days,경상남도
김해평생학습과학축제,2022-10-22,2022-10-23,1 days,경상남도
홍성남당항새조개축제,2022-01-24,2022-02-06,13 days,충청남도
홍성남당항대하축제,2022-08-27,2022-09-05,9 days,충청남도
광천토굴새우젓축제,2022-10-07,2022-10-10,3 days,충청남도
광천김축제,2022-11-12,2022-11-13,1 days,충청남도
청마포도축제,2022-08-27,2022-08-28,1 days,경상남도
거제 섬꽃축제,2022-10-29,2022-11-06,8 days,경상남도
2022 물금 벚꽃 축제,2022-03-26,2022-03-30,4 days,경상남도
2022 양산봄꽃축제,2022-04-05,2022-04-13,8 days,경상남도
원동미나리축제,2022-03-01,2022-03-31,30 days,경상남도
배내골고로쇠축제,2022-03-26,2022-03-27,1 days,경상남도
원동매화축제,2022-03-02,2022-03-20,18 days,경상남도
양산시청소년한마음축제,2022-09-06,2022-09-06,0 days,경상남도
태화강공연축제 나드리,2022-10-08,2022-10-12,4 days,울산광역시
울산옹기축제,2022-09-30,2022-10-03,3 days,울산광역시
백양단풍축제,2022-10-29,2022-10-30,1 days,전라남도
문경약돌한우축제,2022-11-04,2022-11-06,2 days,경상북도
문경오미자축제,2022-09-16,2022-09-18,2 days,경상북도
무장읍성축제,2022-09-23,2022-09-23,0 days,전라북도
고창해풍고추축제,2022-08-27,2022-08-28,1 days,전라북도
제15회 정읍 구절초꽃축제,2022-09-29,2022-10-16,17 days,전라북도
제46회 남명선비문화축제,2022-10-14,2022-10-15,1 days,경상남도
제17회 영양산나물축제,2022-05-12,2022-05-15,3 days,경상북도
거제 옥포대첩 축제,2022-06-14,2022-06-15,1 days,경상남도
남부면 수국축제,2022-07-09,2022-07-10,1 days,경상남도
명량대첩축제,2022-09-23,2022-09-25,2 days,전라남도
순창장류축제,2022-10-14,2022-10-16,2 days,전라북도
2022 하영올레 걷기 축제,2022-03-25,2022-03-27,2 days,제주특별자치도
2022 제주유채꽃축제,2022-04-08,2022-04-10,2 days,제주특별자치도
제26회 한라산 청정 고사리 축제,2022-04-23,2022-04-24,1 days,제주특별자치도
제11회 서귀포 봄맞이축제,2022-06-11,2022-06-11,0 days,제주특별자치도
상효원수목원 봄꽃축제,2022-04-16,2022-05-15,29 days,제주특별자치도
제26회 제주국제관광마라톤축제,2022-06-19,2022-06-19,0 days,제주특별자치도
2022 종로한복축제,2022-10-08,2022-10-09,1 days,서울특별시
2022 영동곶감축제,2022-01-05,2022-01-25,20 days,충청북도
2022 영동포도축제,2022-08-25,2022-08-28,3 days,충청북도
제53회 영동난계국악축제,2022-10-06,2022-10-09,3 days,충청북도
제11회 대한민국와인축제,2022-10-06,2022-10-09,3 days,충청북도
골목이 들썩들썩 마을축제,2022-09-01,2022-09-30,29 days,전라남도
생태문화축제,2022-09-01,2022-09-30,29 days,전라남도
역세권 싱싱포차 축제,2022-11-01,2022-11-30,29 days,전라남도
제23회 순천만 갈대축제,2022-11-18,2022-11-20,2 days,전라남도
순천향매실 동네방네 매화축제,2022-03-25,2022-03-25,0 days,전라남도
조곡동벚꽃축제,2022-03-26,2022-03-27,1 days,전라남도
제5회 철도마을축제 및 제3회 어린이동요제,2022-09-03,2022-09-03,0 days,전라남도
제9회 향동 마을축제 「은행나무 아래로」,2022-11-12,2022-11-12,0 days,전라남도
안흥찐빵축제,2022-10-07,2022-10-09,2 days,강원도
횡성한우축제,2022-09-30,2022-10-04,4 days,강원도
안동국제탈춤축제,2022-09-29,2022-10-03,4 days,경상북도
전주한지문화축제,2022-05-05,2022-05-07,2 days,전라북도
전주세계소리축제,2022-09-16,2022-09-25,9 days,전라북도
김호연재여성문화축제,2022-10-15,2022-10-15,0 days,대전광역시
어린이 축제,2022-04-30,2022-05-01,1 days,인천광역시
자유공원 축제,2022-05-14,2022-06-12,29 days,인천광역시
무의도 춤축제,2022-08-06,2022-08-06,0 days,인천광역시
연안부두축제,2022-10-15,2022-10-16,1 days,인천광역시
2022 영종국제도시 세계전통음식축제,2022-10-22,2022-10-23,1 days,인천광역시
완주와일드앤로컬푸드축제,2022-09-30,2022-10-02,2 days,전라북도
2022 보은대추축제,2022-10-14,2022-10-23,9 days,충청북도
군위 삼장군단오축제,2022-06-03,2022-06-03,0 days,경상북도
제33회 화도진축제,2022-10-14,2022-10-15,1 days,인천광역시
연산대추축제,2022-10-21,2022-10-23,2 days,충청남도
진주남강유등축제,2022-10-10,2022-10-31,21 days,경상남도
제22회소래포구축제,2022-10-01,2022-10-03,2 days,인천광역시
2022 울산 마두희 축제,2022-09-16,2022-09-18,2 days,울산광역시
철쭉축제,2022-04-01,2022-04-30,29 days,경기도
괴산대학찰옥수수축제,2022-07-22,2022-07-24,2 days,충청북도
괴산고추축제,2022-08-26,2022-09-04,9 days,충청북도
괴산김장축제,2022-11-04,2022-11-06,2 days,충청북도
감물감자축제,2022-06-17,2022-06-18,1 days,충청북도
괴산사랑축제,2022-08-01,2022-08-11,10 days,충청북도
목도 백중놀이 축제,2022-08-12,2022-08-12,0 days,충청북도
청천환경버섯축제,2022-09-01,2022-09-03,2 days,충청북도
사리면빨 축제,2022-10-07,2022-10-09,2 days,충청북도
문경사과축제,2022-10-15,2022-10-31,16 days,경상북도
제13회 진안고원 수박축제,2022-07-30,2022-07-31,1 days,전라북도
2023 진안홍삼축제,2022-10-08,2022-10-10,2 days,전라북도
평창백일홍축제,2022-09-06,2022-09-12,6 days,강원도
평창농악축제,2022-09-02,2022-09-05,3 days,강원도
기지시줄다리기민속축제,2022-05-13,2022-05-15,2 days,충청남도
순성왕매실&당진맥주 축제,2022-06-24,2022-06-26,2 days,충청남도
합덕제연호문화축제,2022-07-15,2022-07-30,15 days,충청남도
해나루황토감자축제,2022-06-19,2022-06-22,3 days,충청남도
강경젓갈축제,2022-10-12,2022-10-16,4 days,충청남도
세종축제,2022-10-07,2022-10-10,3 days,세종특별자치시
제17회 남해 마늘·한우 축제,2022-06-10,2022-06-12,2 days,경상남도
제10회 독일마을 맥주축제,2022-09-30,2022-10-02,2 days,경상남도
마산국화축제,2022-10-29,2022-11-09,11 days,경상남도
창원음식문화축제,2022-11-19,2022-11-19,0 days,경상남도
창원단감축제,2022-10-29,2022-10-30,1 days,경상남도
한여름밤의 남원 막걸리 축제,2022-09-02,2022-09-04,2 days,전라북도
동동동화축제,2022-12-23,2022-12-25,2 days,전라북도
울산고래축제,2022-10-13,2022-10-16,3 days,울산광역시
섬마을밴드 음악축제,2022-10-08,2022-10-08,0 days,인천광역시
2022 관악강감찬축제,2022-10-14,2022-10-16,2 days,서울특별시
이태원지구촌축제,2022-10-15,2022-10-16,1 days,서울특별시
제17회 파주개성인삼축제,2022-10-22,2022-10-23,1 days,경기도
제26회 파주장단콩축제,2022-11-25,2022-11-28,3 days,경기도
인천펜타포트 음악축제,2022-08-05,2022-08-07,2 days,인천광역시
인천연등축제,2022-04-22,2022-05-13,21 days,인천광역시
부활절 시민문화축제,2022-05-21,2022-05-21,0 days,인천광역시
삼랑성 역사문화축제,2022-10-01,2022-10-30,29 days,인천광역시
인천생활문화축제,2022-10-15,2022-10-15,0 days,인천광역시
전포커피축제,2022-10-07,2022-10-09,2 days,부산광역시
2022 춘천예술문화축제,2022-07-31,2022-07-31,0 days,강원도
2022 안양시민축제 <우선멈춤>,2022-09-23,2022-09-25,2 days,경기도
2022 양주 천만송이 천일홍 축제,2022-09-24,2022-09-25,1 days,경기도
선도 수선화 축제,2022-04-01,2022-04-10,9 days,전라남도
신안튤립축제,2022-04-08,2022-04-17,9 days,전라남도
섬 크로코스미아 꽃축제,2022-07-08,2022-07-24,16 days,전라남도
원추리축제,2022-07-08,2022-07-17,9 days,전라남도
섬 불볼락 축제,2022-09-30,2022-10-01,1 days,전라남도
섬 새우젓 축제,2022-10-01,2022-10-03,2 days,전라남도
곡성세계장미축제,2022-05-21,2022-06-06,16 days,전라남도
곡성심청어린이대축제,2022-10-22,2022-10-30,8 days,전라남도
달맞이축제,2022-02-15,2022-02-15,0 days,경상북도
제22회 밀양공연예술축제,2022-07-08,2022-07-29,21 days,경상남도
포항거리예술축제,2022-10-21,2022-10-23,2 days,경상북도
달마고도 힐링축제,2022-11-19,2022-11-19,0 days,전라남도
송호해변여름축제,2022-07-29,2022-07-31,2 days,전라남도
명량대첩축제,2022-09-23,2022-09-25,2 days,전라남도
해남미남축제,2022-11-04,2022-11-06,2 days,전라남도
청원생명축제,2022-09-30,2022-10-10,10 days,충청북도
세종대왕과 초정약수 축제,2022-10-07,2022-10-09,2 days,충청북도
세계거리춤축제,2022-10-16,2022-10-17,1 days,서울특별시
2022 고양호수예술축제,2022-09-30,2022-10-03,3 days,경기도
안산국제거리극축제,2022-05-05,2022-05-08,3 days,경기도
구문소용축제,2022-08-13,2022-08-14,1 days,강원도
태백 커플축제,2022-09-17,2022-09-18,1 days,강원도
한강 낙동강 발원지 축제,2022-07-29,2022-08-07,9 days,강원도
삼수 매봉산 바람개비 축제,2022-08-05,2022-08-07,2 days,강원도
장성탄탄축제활기찬동행,2022-09-24,2022-09-25,1 days,강원도
태백 황지연못 황부자며느리 축제,2022-09-23,2022-09-25,2 days,강원도
철암 단풍축제,2022-10-14,2022-10-16,2 days,강원도
제3회 서귀포 은갈치축제,2022-09-30,2022-10-02,2 days,제주특별자치도
제7회 돈내코계곡 원앙축제,2022-08-06,2022-08-06,0 days,제주특별자치도
제18회 쇠소깍축제,2022-08-13,2022-08-14,1 days,제주특별자치도
제28회 서귀포칠십리축제,2022-10-14,2022-10-16,2 days,제주특별자치도
제22회 최남단 방어축제,2022-11-26,2022-12-25,29 days,제주특별자치도
강릉커피축제,2022-10-06,2022-10-09,3 days,강원도
전국생활문화축제 in강릉,2022-10-27,2022-10-30,3 days,강원도
2022 강릉와인축제,2022-12-09,2022-12-11,2 days,강원도
2022 강릉누들축제,2022-12-16,2022-12-18,2 days,강원도
장수 한우랑 사과랑 축제,2022-10-27,2022-10-30,3 days,전라북도
2022 명량대첩축제,2022-09-30,2022-10-02,2 days,전라남도
2022 목포항구축제,2022-10-14,2022-10-16,2 days,전라남도
천년나주목읍성문화축제,2022-07-01,2022-07-03,2 days,전라남도
강진만 춤추는 갈대축제,2022-10-28,2022-11-06,9 days,전라남도
공주 석장리 구석기축제,2022-05-05,2022-05-08,3 days,충청남도
마곡사 신록축제,2022-05-07,2022-05-08,1 days,충청남도
제5회 겨울공주 군밤축제,2022-01-29,2022-02-20,22 days,충청남도
제17회 광릉숲축제,2022-10-08,2022-10-09,1 days,경기도
(23년미정)하남이성산성문화축제,2022-09-17,2022-10-10,23 days,경기도
백운계곡 뜬구름 축제,2022-04-30,2022-05-22,22 days,경기도
평택호물빛축제,2022-09-23,2022-09-24,1 days,경기도
의왕백운호수축제,2022-09-24,2022-09-25,1 days,경기도
청소년 행복주간 지역마을축제(동부권역),2022-05-24,2022-05-24,0 days,경기도
청소년 행복주간 지역마을축제,2022-05-26,2022-05-26,0 days,경기도
청소년 스트레스 해소방안 탐색축제 (스트레스 팡팡),2022-09-03,2022-09-03,0 days,경기도
청소년 종합예술제 끼자랑꿈자랑 한마당 축제,2022-09-24,2022-09-24,0 days,경기도
의정부혁신교육지구시즌Ⅲ 학생주도동아리지원사업 지니어스 마을연합축제,2022-10-01,2022-09-24,-7 days,경기도
경산갓바위소원성취축제,2022-09-24,2022-09-25,1 days,경상북도
여주도자기축제,2022-04-08,2022-04-17,9 days,경기도
여주오곡나루축제,2022-10-21,2022-10-23,2 days,경기도
월출산국화축제,2022-10-29,2022-11-13,15 days,전라남도
제21회 의정부음악극축제,2022-06-10,2022-06-18,8 days,경기도
제10회 의정부국제가야금축제,2022-09-23,2022-09-24,1 days,경기도
서울장미축제,2022-05-02,2022-05-22,20 days,서울특별시
용마폭포 문화예술축제,2022-10-08,2022-10-19,11 days,서울특별시
류방택 별축제,2022-11-05,2022-11-05,0 days,충청남도
팔봉산 감자축제,2022-06-25,2022-06-26,1 days,충청남도
삼길포우럭축제,2022-07-29,2022-07-31,2 days,충청남도
서산해미읍성축제,2022-10-07,2022-10-09,2 days,충청남도
서산국화축제,2022-11-02,2022-11-13,11 days,충청남도
하동 북천코스모스 메밀꽃 축제,2022-09-17,2022-10-03,16 days,경상남도
제23회음성품바축제,2022-09-21,2022-09-25,4 days,충청북도
품앗이 공연예술축제,2022-08-25,2022-08-28,3 days,경기도
화성송산포도축제,2022-09-03,2022-09-04,1 days,경기도
화성뱃놀이축제,2022-09-16,2022-09-18,2 days,경기도
화성 학생동아리 축제,2022-10-22,2022-10-22,0 days,경기도
청소년마을축제,2022-10-29,2022-10-29,0 days,경기도
병점 떡전거리 축제,2022-10-29,2022-10-29,0 days,경기도
제26회 무주반딧불축제,2022-08-27,2022-09-04,8 days,전라북도
신시모도삼형제보물섬축제,2022-10-15,2022-10-16,1 days,인천광역시
제24회 단양온달문화축제,2022-09-30,2022-10-02,2 days,충청북도
2022 중문 칠선녀축제,2022-11-05,2022-11-06,1 days,제주특별자치도
제28회 제주 성읍마을 전통민속재현축제,2022-10-09,2022-10-09,0 days,제주특별자치도
제12회 혼인지축제,2022-10-15,2022-10-16,1 days,제주특별자치도
제20회 예래생태체험축제,2022-07-30,2022-07-31,1 days,제주특별자치도
제25회 보령머드축제,2022-07-16,2022-08-15,30 days,충청남도
담양산타축제,2022-12-23,2022-12-31,8 days,전라남도
창평전통음식문화축제,2022-10-26,2022-10-28,2 days,전라남도
태백산 눈축제,2022-01-10,2022-01-19,9 days,강원도
얼음나라화천 산천어축제,2022-01-27,2022-02-16,20 days,강원도
영암왕인문화축제,2022-04-01,2022-04-01,0 days,전라남도
보성다향대축제,2022-04-15,2022-04-21,6 days,전라남도
진도신비의바닷길축제,2022-04-17,2022-04-19,2 days,전라남도
나비대축제,2022-04-29,2022-05-08,9 days,전라남도
문경찻사발축제,2022-04-30,2022-05-08,8 days,경상북도
담양대나무축제,2022-05-02,2022-05-08,6 days,전라남도
하동 야생차문화축제,2022-05-04,2022-05-08,4 days,경상남도
공주 석장리 구석기축제,2022-05-05,2022-05-08,3 days,충청남도
대가야체험축제,2022-05-05,2022-05-08,3 days,경상북도
부안마실축제,2022-05-05,2022-05-31,26 days,전라북도
울산쇠부리축제,2022-05-13,2022-05-15,2 days,울산광역시
곡성세계장미축제,2022-05-21,2022-06-06,16 days,전라남도
춘천마임축제,2022-05-22,2022-05-29,7 days,강원도
보령머드축제,2022-07-16,2022-08-15,30 days,충청남도
하동 섬진강재첩문화축제,2022-08-05,2022-08-07,2 days,경상남도
인천펜타포트 음악축제,2022-08-05,2022-08-07,2 days,인천광역시
통영한산대첩축제,2022-08-06,2022-08-14,8 days,경상남도
무주반딧불축제,2022-08-27,2022-09-04,8 days,전라북도
괴산고추축제,2022-09-01,2022-09-04,3 days,충청북도
화성뱃놀이축제,2022-09-16,2022-09-18,2 days,경기도
음성품바축제,2022-09-21,2022-09-25,4 days,충청북도
천안흥타령춤축제,2022-09-21,2022-09-25,4 days,충청남도
밀양아리랑대축제,2022-09-22,2022-09-25,3 days,경상남도
시흥갯골축제,2022-09-23,2022-09-25,2 days,경기도
김제지평선축제,2022-09-29,2022-10-03,4 days,전라북도
부평풍물대축제,2022-09-30,2022-10-02,2 days,인천광역시
안동국제탈춤축제,2022-09-30,2022-10-09,9 days,경상북도
강진청자축제,2022-09-30,2022-10-06,6 days,전라남도
안성맞춤 남사당 바우덕이축제,2022-09-30,2022-10-03,3 days,경기도
부천국제만화축제,2022-09-30,2022-10-03,3 days,경기도
풍기인삼축제(2022 영주세계풍기인삼 엑스포),2022-09-30,2022-10-23,23 days,경상북도
산청한방약초축제,2022-09-30,2022-10-11,11 days,경상남도
울산옹기축제,2022-09-30,2022-10-03,3 days,울산광역시
금산인삼축제,2022-09-30,2022-10-23,23 days,충청남도
횡성한우축제,2022-09-30,2022-10-04,4 days,강원도
소래포구축제,2022-10-01,2022-10-03,2 days,인천광역시
대구약령시 한방문화축제,2022-10-06,2022-10-10,4 days,대구광역시
영동난계국악축제,2022-10-06,2022-10-09,3 days,충청북도
군산시간여행축제,2022-10-07,2022-10-10,3 days,전라북도
진안홍삼축제,2022-10-07,2022-10-10,3 days,전라북도
영산강 서창들녘 억새축제,2022-10-07,2022-10-10,3 days,광주광역시
강릉커피축제,2022-10-07,2022-10-10,3 days,강원도
세종축제,2022-10-07,2022-10-10,3 days,세종특별자치시
임실N치즈축제,2022-10-07,2022-10-10,3 days,전라북도
서산해미읍성축제,2022-10-07,2022-10-09,2 days,충청남도
연천구석기축제,2022-10-07,2022-10-10,3 days,경기도
대전효문화뿌리축제,2022-10-07,2022-10-09,2 days,대전광역시
진주남강유등축제,2022-10-10,2022-10-31,21 days,경상남도
강경젓갈축제,2022-10-12,2022-10-16,4 days,충청남도
충장축제,2022-10-13,2022-10-17,4 days,광주광역시
울산고래축제,2022-10-13,2022-10-16,3 days,울산광역시
목포항구축제,2022-10-14,2022-10-17,3 days,전라남도
순창장류축제,2022-10-14,2022-10-16,2 days,전라북도
광안리어방축제,2022-10-14,2022-10-16,2 days,부산광역시
동래읍성역사축제,2022-10-14,2022-10-16,2 days,부산광역시
관악강감찬축제,2022-10-14,2022-10-16,2 days,서울특별시
이천쌀문화축제,2022-10-19,2022-10-23,4 days,경기도
광주세계김치축제,2022-10-20,2022-10-23,3 days,광주광역시
여주오곡나루축제,2022-10-21,2022-10-23,2 days,경기도
김해분청도자기축제,2022-10-21,2022-10-30,9 days,경상남도
청송사과축제,2022-11-02,2022-11-06,4 days,경상북도
영덕대게축제,2022-12-27,2022-12-27,0 days,경상북도
