축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2022 KT&G 상상마당 춘천 아트갤러리 정기대관 공고,KT&G 상상마당 춘천 아트갤러리 1~2,2022-03-10,2022-03-25,춘천 아트갤러리 정기대관 공고,KT&G 상상마당 춘천,KT&G 상상마당 춘천,,070-7586-0550,https://www.sangsangmadang.com/customer/notice/detail/5141,전시관람,강원도 춘천시 스포츠타운길399번길 25 어린이회관,강원도 춘천시 삼천동 223-2 어린이회관,37.87406600,127.70245500,2023-01-12,4180000,강원도 춘천시
만나고 싶었습니다 창작의 자극 그리고 예술로 환기,공간공일갤러리,2022-03-04,2022-03-16,코로나19로 예술적 활동의 위축과 교류의 단절로 가라앉은 작가들의 창작 동기를 일깨워 그 동기부여의 방법을 작가마다 나름의 방식대로 찾아보고 그 결과물을 일반 대중과 함께 나누는 예술로 환기하기 프로젝트,예술밭사이로+춘천문화재단,예술밭사이로,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10234&search_type=1&search_keyword=EBA78CEB8298EAB3A0+EC8BB6EC9788EC8AB5EB8B88EB8BA4+E28093+ECB0BDEC9E91EC9D98+EC9E90EAB7B9+EAB7B8EBA6ACEAB3A0+EC9888EC88A0EBA19C+ED9998EAB8B0,전시관람,강원도 춘천시 향교앞길 13-4 1층,강원도 춘천시 교동 140 1층,37.87989200,127.73435900,2023-01-12,4180000,강원도 춘천시
지식정보화시대 책이 밥 먹여 주는 시대,춘천사회혁신센터내 안녕하우스,2022-08-10,2022-08-10,아이들 독서 교육 강연,춘천시민언론협동조합 주간신문 춘천사람들,춘천시민언론협동조합 주간신문 춘천사람들,강원도교육청,033-252-6217,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10677&search_type=1&search_keyword=ECA780EC8B9DECA095EBB3B4ED9994EC8B9CEB8C803F+ECB185EC9DB4+EBB0A5+EBA8B9EC97AC+ECA3BCEB8A94+EC8B9CEB8C8021,특강+강좌,강원도 춘천시 공지로 255,강원도 춘천시 효자동 303-14,37.86463400,127.73542800,2023-01-12,4180000,강원도 춘천시
2021 강원도민 연극교실 금쪽같은 우리엄빠 참여자 모집,강원도립극단 연습실,2021-12-04,2021-12-05,2021 강원도민 연극교실 금쪽같은 우리엄빠 참여자 모집,강원도립극단,강원도립극단,,033-255-0496,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10001&search_type=1&search_keyword=2021+EAB095EC9B90EB8F84EBAFBC+EC97B0EAB7B9EAB590,특강+강좌,강원도 춘천시 안마산로 89 4층,강원도 춘천시 퇴계동 565-6,37.85546242,127.72585270,2023-01-12,4180000,강원도 춘천시
법성포단오제,법성포,2022-06-02,2022-06-05,문화축제,(사)법성포단오제보존회,(사)법성포단오제보존회,영광군+영광군의회+한빛원자력본부,061-356-4331,http://bspdanoje.co.kr,,전라남도 영광군 법성면 진굴비길 154-13,전라남도 영광군 법성면 진내리 642-10,35.36265187,126.4359383,2022-09-27,4970000,전라남도 영광군
불갑산상사화축제,불갑면,2022-09-16,2022-09-25,문화축제,영광 불갑산상사화축제 집행위원회,영광 불갑산상사화축제 추진위원회,영광군+영광군의회+한빛원자력본부,061-350-5752,http://상사화축제.com,,전라남도 영광군 불갑면 불갑사로 450,전라남도 영광군 불갑면 모악리 8,35.19967508,126.5500476,2022-09-27,4970000,전라남도 영광군
제36회 해운대북극곰축제,해운대해수욕장 일원,2023-12-01,2023-12-01,북극곰 수영대회+체험프로그램+무대공연 등,부산일보,부산일보,부산광역시 해운대구청,051-749-4064,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.1631399226,129.1635303,2023-01-27,3330000,부산광역시 해운대구
2024 카운트다운&해맞이 축제,해운대해수욕장 일원,2023-12-31,2024-01-01,카운트다운 행사+해맞이 행사+부대 프로그램 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.1631399226,129.1635303,2023-01-27,3330000,부산광역시 해운대구
청송사과축제,청송읍 용전천 변(현비암 일원),2022-11-09,2022-11-13,공연+경연+체험+전시+판매,청송군축제추진위원회,경상북도 청송군청,문화체육관광부+경상북도+청송군의회+청송경찰서+청송교육지원청+청송군관내농협+(사)청송사과협회+청송사과유통센터+(재)청송문화관광재단,054-870-6237,,,,경상북도 청송군 청송읍 월막리 368-2,36.43271991,129.0554862,2023-01-25,5160000,경상북도 청송군
2022 대전 서구힐링 아트페스티벌,샘머리공원 및 보라매공원(서구청앞) 일원,2022-10-14,2022-10-16,아트마켓 등 6개분야 100여개 프로그램,서구축제추진위원회+대전광역시서구문화원+한국예총대전광역시연합회,대전광역시 서구,,042-288-2742,https://www.seogu.go.kr/prog/fstvl/tour/sub04_02/14/view.do,,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산동 1544,36.35505601,127.3833576,2023-01-06,3660000,대전광역시 서구
필봉마을굿축제,필봉문화촌,2022-08-12,2022-08-15,국가무형문화재 초청공연+전국농악경연대회+전통연희+학술세미나,임실필봉농악보존회,임실필봉농악보존회,전라북도 임실군,063-643-1902,www.pilbong.co.kr,,전라북도 임실군 강진면 강운로 272,전라북도 임실군 강진면 필봉리 88-1,35.53639442,127.1544452,2023-01-01,4760000,전라북도 임실군
임실N치즈축제,임실치즈테마파크+임실치즈마을,2022-10-07,2022-10-10,국가대표 왕치즈피자 만들기+우유드림 행복드림 퍼레이드+임실N치즈페어+치즈경매,임실N치즈축제 제전위원회,전라북도 임실군,문화체육관광부+농림축산식품부+전라북도,063-643-3900,www.imsilfestival.com,,전라북도 임실군 성수면 도인2길 50,전라북도 임실군 성수면 도인리 689,35.63310329,127.3012599,2023-01-01,4760000,전라북도 임실군
산타축제,임실치즈테마파크,2022-12-23,2022-12-25,산타플래시몹 퍼레이드+산타를 찾아라+산타경연대회,(재)임실치즈테마파크,(재)임실치즈테마파크,전라북도 임실군,063-643-2300,www.cheesepark.kr,,전라북도 임실군 성수면 도인2길 50,전라북도 임실군 성수면 도인리 689,35.63310329,127.3012599,2023-01-01,4760000,전라북도 임실군
의견문화제,오수의견공원,2022-05-05,2022-05-07,반려동물 패션쇼+반려동물 토크쇼+반려동물 참여 및 체험프로그램+반려동물 산업박람회,의견문화제전위원회,의견문화제전위원회,전라북도 임실군,063-642-5292,,,전라북도 임실군 오수면 충효로 2096-16,전라북도 임실군 오수면 오수리 33,35.54520247,127.3326779,2023-01-01,4760000,전라북도 임실군
2022 금정산성축제,금정산성광장 일원,2022-10-29,2022-10-30,개막식+주제공연+전시·체험마당+연계행사 등,(재)금정문화재단,부산광역시 금정구청,,051-519-4062,,,,부산광역시 금정구 금성동 682,35.2452813,129.0570297,2023-01-26,3350000,부산광역시 금정구
2022 지금여기 금정 관광후기 이벤트,금정구 일대,2022-02-01,2022-11-30,금정을 여행하는 누구나 나만의 금정 관광후기를 공유하고 타인의 관광후기를 공유 받을 수 있음,부산광역시 금정구청,부산광역시 금정구청 문화관광과,,051-519-4081,,,,부산광역시 금정구 중앙대로 1777,35.2428426,129.0921739,2023-01-26,3350000,부산광역시 금정구
울산쇠부리축제,달천철장 일원,2022-05-13,2022-05-15,한반도 최초의 철산지 달천철장에서 펼처지는 철문화축제,울산광역시 북구청 문화체육과,울산광역시 북구청 문화체육과,,052-293-3500,http://www.soeburi.org/,,울산광역시 북구 달천철장길 58,울산광역시 북구 달천동 1-7,35.63424081,129.3289893,2022-09-02,6310000,울산광역시
울산조선해양축제,울산광역시 동구 일산해수욕장 일원,2022-07-22,2022-07-24,울산동구의 대표 여름축제,울산광역시 동구청 해양관광정책실,울산광역시 동구청 해양관광정책실,,052-209-3362,http://www.ussf.co.kr,,울산광역시 동구 해수욕장10길 7,울산광역시 동구 일산동 962,35.49577039,129.4306152,2022-09-02,6310000,울산광역시
울산고래축제,장생포 고래문화특구 일원,2022-10-13,2022-10-16,"고래문화를 계승하고 보전하기 위해, 고래의 본고장 울산에서 열리는 힐링 페스티벌",울산광역시 남구청 관광과,울산광역시 남구청 관광과,,052-226-1999,http://www.ulsanwhale.com,,울산광역시 남구 장생포고래로 244,,35.5027537,129.3807899593,2022-09-02,6310000,울산광역시
궁거랑 벚꽃 한마당,남구 무거생태하천 일원(특설무대),2019-03-30,2019-03-31,울산광역시 남구 삼호동 무거생태하천에서 매년 3~4월에 개최하는 문화 행사,울산광역시 남구청 문화체육과,울산광역시 남구청 문화체육과,,052-226-5412,,,울산광역시 남구 삼호로 15,,35.5500212,129.266004,2022-09-02,6310000,울산광역시
울산마두희축제,중구 원도심 일원,2022-09-16,2022-09-18,"320년 역사의 울산 큰줄당기기, 마두희",울산광역시 중구청 문화관광과,울산광역시 중구청 문화관광과,,052-244-2008,http://www.ulsanmaduhee.co.kr,,울산광역시 중구 새즈믄해거리 37,,35.5566794,129.320056,2022-09-02,6310000,울산광역시
태화강국제재즈음악제,태화강 국가정원 야외공연장,2021-06-26,2021-06-27,태화강국가정원에서 즐기는 재즈 향연,울산광역시 중구청 문화관광과,울산광역시 중구청 문화관광과,,052-290-3663,,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
119안전문화축제,남구 태화강 둔치(태화로타리 앞) 일원,2021-10-21,2021-10-23,"보고, 듣고, 느끼는 오감만족형 안전체험의 장을 마련하여 안전문화의식을 확산하고자 개최하는 2021 울산119안전문화축제",울산광역시 소방본부 예방안전과,울산광역시 소방본부 예방안전과,,052-229-5331,http://fire.ulsan.go.kr/,,,울산광역시 남구 신정동 391 (울산시민공원),35.55011074,129.3101786,2022-09-02,6310000,울산광역시
태화강 국가정원 봄꽃축제,태화강 국가정원,2022-05-13,2022-05-15,6천만 송이 봄꽃 물결과 함께하는 태화강 국가정원 봄꽃 전시,울산광역시청 태화강국가정원과,울산광역시청 태화강국가정원과,,052-229-7561,https://www.ulsan.go.kr/s/garden/main.ulsan,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
14회 울산대공원 장미축제,울산대공원 장미원,2022-05-25,2022-05-29,"사랑 향기가 가득한 행복도시, 울산을 대표하는 울산대공원 장미축제",울산광역시청 녹지공원과,울산광역시청 녹지공원과,,052-229-3341,http://ulsanrosefestival.com,,울산광역시 남구 대공원로 94,울산광역시 남구 옥동 산138,35.53098415,129.2939195,2022-09-02,6310000,울산광역시
울산대공원 빛축제,울산대공원 정문 풍요의 못 일원,2021-12-17,2022-02-04,달빛 호수를 여행하다,울산시설공단,울산시설공단,,052-226-0305,https://www.uic.or.kr/ulsanpark/main/mainPage.do,,울산광역시 남구 대공원로 94,울산광역시 남구 옥동 146-1,35.53098415,129.2939195,2022-09-02,6310000,울산광역시
태화강 대숲 납량축제,태화강 국가정원 야외공연장+대숲산책로 일원,2022-08-12,2022-08-15,태화강 대숲을 배경의 한 여름밤 납량축제,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-226-7081,http://www.ulsantheatre.or.kr/,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
서머페스티벌,비대면 온라인 공연,2022-08-05,2022-08-10,6개 테마별 국내 가수 초청 공연,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-290-1236,https://www.usmbc.co.kr,,울산광역시 남구 중앙로 201,,35.53794728,129.3112566,2022-09-02,6310000,울산광역시
처용문화제,태화강국가정원 남구둔치 일원,2022-10-08,2022-10-10,"처용 콘텐츠를 활용한 프로그램, 전시체험 등 행사",울산광역시청 문화예술과,울산광역시청 문화예술과,,052-259-7917,http://www.cheoyongf.or.kr,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
고싸움놀이축제,칠석동 고싸움놀이테마파크,2022-11-11,2022-11-13,고싸움놀이 시연+무형문화재 초청공연+민속놀이 체험,광주칠석고싸움놀이보존회,광주칠석고싸움놀이보존회,광주광역시+광주광역시 남구,062-607-2315,www.goodmorningyangrim.com,매년 정월대보름 개최,광주광역시 남구 고싸움로 2,광주광역시 남구 칠석동 619,35.069718,126.8375167,2022-08-30,3610000,광주광역시 남구
굿모닝양림축제,양림동 일원,2022-10-12,2022-10-30,문화인물전시+공연+인문학 강의+체험행사,광주광역시남구문화원+굿모닝양림축제추진위원회,광주광역시 남구,광주광역시+광주광역시 남구,062-607-2312,www.gossaum.com,,광주광역시 남구 백서로 92-8,광주광역시 남구 양림동 48,35.14019141,126.9163647,2022-08-30,3610000,광주광역시 남구
노대 에코 페스티벌,분적산 및 노대호수공원,2022-09-24,2022-09-24,분적산그림대회+트레킹+공연+체험행사,광주광역시남구,광주광역시남구,,062-607-2312,,,광주광역시 남구 노대실로41번길 31,,,,2022-08-30,3610000,광주광역시 남구
2022 춘천도서전-춘천 쓰고 읽고 말하다.,춘천시립도서관일대,2022-10-22,2022-10-23,춘천지역출판연대가 주최하는 이번 도서전은 지역의 숨은 작가를 찾아 독자들과 이어주는 지역작가와 독자의 만남을 주요 목표로 하고 있다.,춘천지역출판연대,춘천지역출판연대,춘천문화재단,033-251-9362,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10798,행사+축제,강원도 춘천시 우석로 100,강원도 춘천시 석사동 산32-1,37.86198997,127.75501864,2023-01-12,4180000,강원도 춘천시
정춘일 개인전 - 삼 .철. 리 바람 展,kt&g 상상마당 춘천갤러리,2022-09-20,2022-10-21,"이번 프로젝트는 작가 본인에게는 자신의 한계성과의 싸움이며, 향유자에게는 작품의 다양성의 폭을 넓혀주고,나아가 문화도시 춘천의 위상과 예술의 질적수준을 높여 줄 것이라 기대한다.",정춘일,정춘일,춘천문화재단+kt&g 상상마당,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10795,전시관람+강연,강원도 춘천시 스포츠타운길 399번길 25,강원도 춘천시 삼천동 223-2,37.87361778,127.70209163,2023-01-12,4180000,강원도 춘천시
2022링크전-○△□,문화공간역,2022-09-16,2022-09-29,링크전은 소통과 연결을 화두로 삼아 해마다 주제를 달리하여 개최하는 전시,(사)민족미술인협회 춘천지부,춘천문화재단,,033-252-0731,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10794,전시관람,강원도 춘천시 영서로 2260,강원도 춘천시 퇴계동 633-2 남춘천역,37.86404439,127.72391519,2023-01-12,4180000,강원도 춘천시
2022 서현종 개인전,공간 제로(zero),2022-10-01,2022-10-10,2022 서현종의 11번째 개인전-그의 이야기속에 나오는 나무 한 그루展,서현종,서현종,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10791&search_type=1&search_keyword=2022+EC849CED9884ECA285+EAB09CEC9DB8ECA084,전시관람,강원도 춘천시 동면 공단로 104,강원도 춘천시 동면 장학리 791-37,37.89535700,127.74896399,2023-01-12,4180000,강원도 춘천시
제19회 겸로 이형제 개인전 봄내의 골목길-어제와 오늘,춘천미술관 1층,2022-09-09,2022-09-14,제19회 겸로 이형제 개인전 봄내의 골목길-어제와 오늘,이형제,이형제,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10780&page=4,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73133500,2023-01-12,4180000,강원도 춘천시
대구약령시한방문화축제,약령시장,2021-10-06,2021-10-10,고유제+개막식+체험프로그램 등,사단법인약령시보존위원회,대구광역시 의료산업기반과+대구광역시 중구 관광진흥과,,053-253-4729,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구컬러풀페스티벌,국채보상로,2021-10-22,2021-10-24,퍼레이드+축하공연+부대행사 등,재단법인대구문화재단,대구광역시 문화콘텐츠과,,053-430-1261,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구국제뮤지컬페스티벌,공연장,2021-06-18,2021-07-05,국내외 우수작품 공연+딤프어워즈+딤프린지 등,사단법인DIMF,대구광역시 문화콘텐츠과,,053-622-1945,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구치맥페스티벌,두류공원,2021-10-01,2021-11-30,치맥 테마 식음+체험+공연+참여프로그램 운영 등,대구치맥페스티벌 조직위원회,사단법인한국치맥산업협회,,053-248-9998,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
디지털패션문화페스티벌,공원,2021-12-06,2021-12-12,디지털 패션쇼+패션아트 전시 및 공연+이커머스 라이브 마켓 등,한국패션산업연구원,대구광역시 섬유패션과,,053-721-7434,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구포크페스티벌,공원,2021-11-20,2021-11-20,포크송 및 버스킹 공연+언택트 공연 100인 랜선 합창 등,사단법인대구포크페스티벌,대구광역시 문화예술정책과,,053-626-2015,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구국제오페라축제,공연장,2021-09-09,2021-11-07,초청 오페라 공연+국제오페라오디션 등,재단법인대구오페라하우스,대구광역시 문화콘텐츠과,,053-803-3792,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구글로벌게임문화축제 e-fun,동성로,2021-11-27,2021-11-28,게임영상콘서트+e스포츠대회+코스프레대회+게임체험존 운영,재단법인대구디지털산업진흥원,대구광역시 문화콘텐츠과,,053-803-3801,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
생명사랑환경축제-맹꽁이야 놀자,달성습지,2021-09-11,2021-09-12,생태교육 및 참여 프로그램 운영+달성습지 홍보 등,사단법인대구경북늘푸른자원봉사단,대구광역시 환경정책과,,053-803-4215,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구국제재즈축제,공원,2021-10-06,2021-10-11,재즈뮤지션 초청공연+프린지 공연+대구국제실용음악콩쿠르 개최,대구국제재즈축제조직위원회,대구광역시 문화예술정책과,,053-1544-1850,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
팔공산 산중장터 승시,동화사,2021-10-01,2021-10-31,산중장터 승시 재현+승시음악회+불교용품 전시+체험관 운영 등,팔공산승시축제봉행위원회,팔공총림동화사,,053-980-7956,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구생활문화제,동성로,2021-11-19,2021-11-21,예술동호회 공연 및 전시+체험존 운영,대구문화재단,대구광역시 문화예술정책과,,053-803-3631,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대봉웨딩거리축제,대봉웨딩거리,2021-10-21,2021-10-22,웨딩 관련 상품체험+길거리 공연 등,대봉동 웨딩거리 상점가 상인회,대봉동 웨딩거리 상점가 상인회,,053-661-2645,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
동성로축제,동성로,2021-10-15,2021-10-17,동성로 가요제+댄스+먹방대회+패션쇼 등,동성로상점가상인회,사단법인달성문화선양회,,053-423-3337,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
대구패션주얼리위크,교동,2021-11-05,2021-11-06,주얼리패션쇼+주얼리 경매+주얼리 모델대회 등,대구패션주얼리특구상인회,대구패션주얼리특구상인회,,053-424-9150,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
대구스트리트모터페스티벌,남산동 자동차골목,2021-09-01,2021-12-31,차량 전시+축하공연+부대행사 등,남산동DSMF조직위원회,남산동자동차골목상점가상인회,,053-661-3014,http://www.jung.daegu.kr/,개최취소,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
